家装室内设计师助理,家居/室内设计/装潢,湖北壹品大宅装饰有限公司,大专,2-4千,1年,武汉
平面设计,广告,宿州市源权广告有限公司,大专,3-4千,1年,宿州
电话销售-企业微信授权代表,检测，认证,保定融沃企业管理咨询有限公司,中技/中专,8千-1.6万,无需经验,保定
项目助理,农/林/牧/渔,云南英茂花卉产业有限公司,本科,4-6千,3-4年,昆明
高级外贸跟单员,贸易/进出口,无锡文迪机电设备有限公司,大专,8千-1万,3-4年,无锡
奔驰销售顾问-永康利之星,汽车,永康利之星汽车销售服务有限公司,大专,8千-1.6万,1年,金华
商务司机,机械/设备/重工,九江消防装备有限公司,高中,5-6千,3-4年,九江
贝壳找房大平台招聘置业顾问,中介服务,宜宾念正美营销策划有限公司,中技/中专,5千-1万,2年,宜宾
急招五金品检,贸易/进出口,厦门迈维斯货架有限公司,中技/中专,5-8千·13薪,1年,厦门
园林施工经理,建筑/建材/工程,江西翰林实业有限公司,本科,1-1.5万,5-7年,南昌
机械结构工程师,电子技术/半导体/集成电路,宁波扇贝科技有限公司,本科,8千-1.2万·13薪,2年,宁波
贝壳找房大平台&房产销售,中介服务,宜宾念正美营销策划有限公司,中技/中专,4-8千,1年,宜宾
质检员,贸易/进出口,厦门迈维斯货架有限公司,初中及以下,5-7千·13薪,1年,厦门
会计,建筑/建材/工程,杭州鸿晟建筑工程有限公司,大专,4.5-6千,1年,杭州
研发经理/博士后研究员,中介服务,湖州启才科技发展有限公司,博士,2-4万,无需经验,湖州
销售,计算机软件,比萨教学设备（上海）有限公司,大专,10-15万/年,3-4年,临沂
货车司机,石油/化工/矿产/地质,西安思摩威新材料有限公司,高中,4-6千,5-7年,西安
销售总监,广告,通众传媒,大专,2-4万,3-4年,上海
济南租售负责人,中介服务,浙江幸福绿城房地产经纪有限公司,大专,8千-1.2万,5-7年,济南
渠道拓展经理,建筑/建材/工程,深圳好博窗控技术股份有限公司,大专,1-2万,3-4年,济南
园林施工经理,建筑/建材/工程,江西翰林实业有限公司,本科,1-1.5万,5-7年,南昌
光伏组件外贸销售,贸易/进出口,宁波静美纺织品有限公司,大专,1-1.5万·13薪,2年,宁波
机械结构工程师,电子技术/半导体/集成电路,宁波扇贝科技有限公司,本科,8千-1.2万·13薪,2年,宁波
客服,建筑/建材/工程,杭州鸿晟建筑工程有限公司,大专,5-8千,2年,杭州
联通客户经理,通信/电信/网络设备,江苏全瀚通信科技有限公司第一分公司,大专,6.5千-1.2万,3-4年,扬州
研发经理/博士后研究员,中介服务,湖州启才科技发展有限公司,博士,2-4万,无需经验,湖州
结构工程师(塑胶),电子技术/半导体/集成电路,进贤睿智电子科技有限公司,大专,5-8千,3-4年,南昌
销售,计算机软件,比萨教学设备（上海）有限公司,大专,10-15万/年,3-4年,临沂
装配电工（自动化设备）,机械/设备/重工,广东冈田智能科技有限公司,初中及以下,7千-1万,1年,东莞
研发高级经理,中介服务,湖州启才科技发展有限公司,博士,3-5万,1年,湖州
运营专员,贸易/进出口,深圳市博为凯科技有限公司,大专,5千-1万,1年,深圳
花稿图案设计师,互联网/电子商务,广州启维科技技术有限公司,大专,9千-1.3万·13薪,2年,广州
投标资料员,计算机软件,四川耀南电子有限公司,大专,5-7千,2年,绵阳
货车司机,石油/化工/矿产/地质,西安思摩威新材料有限公司,高中,4-6千,5-7年,西安
销售经理,交通/运输/物流,上海大田国际货运有限公司,大专,1-2万,5-7年,上海
销售总监,广告,通众传媒,大专,2-4万,3-4年,上海
苏州租售负责人,中介服务,浙江幸福绿城房地产经纪有限公司,大专,1-1.5万,5-7年,苏州
渠道拓展经理,建筑/建材/工程,深圳好博窗控技术股份有限公司,大专,1-2万,3-4年,济南
OTC省区经理,制药/生物工程,丽珠医药集团股份有限公司,大专,1-1.5万,3-4年,广东省
电气工程师（半导体方向）,学术/科研,武汉数字化设计与制造创新中心有限公司,本科,1.2-1.8万·15薪,3-4年,武汉
销售外呼（华星奔驰武侯店）,汽车,华星锦业集团有限公司,高中,6千-1.2万,无需经验,成都
外贸业务员,家具/家电/玩具/礼品,广东力丰电器有限公司,大专,8千-1.5万,3-4年,惠州
采购主管/经理,多元化业务集团公司,深圳市神州通投资集团有限公司,本科,1.2-2万,5-7年,深圳
电商运营经理,贸易/进出口,渲美美健（深圳）科技股份有限公司,本科,1.5-2.5万,5-7年,深圳
自动化电控工程师,机械/设备/重工,苏州范瑞机电科技有限公司,大专,5-8千,1年,盐城
外派广州仓管员（番禺）,服装/纺织/皮革,福建浔兴拉链科技股份有限公司,高中,6-7千,无需经验,广州
质量主管,石油/化工/矿产/地质,干霸干燥剂（深圳）有限公司,大专,8.5千-1.5万·13薪,2年,深圳
销售经理,电子技术/半导体/集成电路,深圳市泰凌微电子有限公司,本科,1-2万·13薪,3-4年,深圳
IVD销售顾问-云南,医疗设备/器械,四川省亚中医疗仪器有限责任公司,本科,1-1.5万,1年,昆明
销售工程师/化工销售代表,石油/化工/矿产/地质,上海翔康科技发展有限公司,大专,1.5-3万,1年,上海
Java软件开发,计算机软件,江苏中景信息技术有限公司,本科,5千-1万,2年,苏州
项目经理 -长短促,专业服务(咨询、人力资源、财会),上海万宝锐旗市场营销策划有限公司,大专,1.2-1.5万,3-4年,上海
助理工艺工程师,石油/化工/矿产/地质,江西恩博新材料有限公司,大专,6-8千,1年,宜春
销售代表/化工原料销售,石油/化工/矿产/地质,上海翔康科技发展有限公司,大专,1.5-3万,1年,上海
实施工程师 海口,计算机软件,深圳市康萌德智能科技有限公司,大专,7千-1.2万,2年,海口
助理电子工程师/研发助理工程师,贸易/进出口,深圳市讯晨智能科技有限公司,大专,8千-1.5万,3-4年,深圳
家电品牌售后客服,外包服务,广西泰盈信息技术有限公司,大专,3.5-5千,无需经验,南宁
园区运营,多元化业务集团公司,上海麦腾永联科创企业发展股份有限公司,大专,4-6千,2年,芜湖
现场管理,专业服务(咨询、人力资源、财会),江苏安胜达安全科技有限公司,大专,4.5-6.5千,1年,苏州
财务核算,医疗/护理/卫生,杭州协合医疗用品有限公司,大专,5-6千·13薪,1年,杭州
机械工程师,汽车,英华利汽车模具系统(深圳)有限公司,大专,1.1-1.6万,3-4年,深圳
财务核算,医疗/护理/卫生,杭州协合医疗用品有限公司,大专,5-6千·13薪,1年,杭州
高薪网销无责5k双休五险一金,金融/投资/证券,梧桐树保险经纪有限公司,高中,1.5-3万,无需经验,南京
仓库管理员,电子技术/半导体/集成电路,成都国铁电气设备有限公司,大专,3.6-5千·14薪,3-4年,成都
投资助理,金融/投资/证券,深圳万益投资发展有限公司,本科,9千-1.5万·13薪,2年,深圳
商务专员（销售/双休）,通信/电信运营、增值服务,武汉世捷通网络信息技术有限公司,大专,4-5千·13薪,1年,武汉
行政主管,家居/室内设计/装潢,红星美凯龙国际家居连锁（四川区域）,本科,4.5-6千,3-4年,成都
生产计划员,石油/化工/矿产/地质,江苏晶华新材料科技有限公司,大专,5-7千,2年,内江
Chinese Teacher (Maternity Cover),教育/培训/院校,深圳前海哈罗外籍人员子女学校,本科,1.5-2.5万,3-4年,深圳
数码网屏L350机长,印刷/包装/造纸,盈彩（恩平）包装科技有限公司,中技/中专,5-7千,2年,江门
美工,服装/纺织/皮革,浙江敦奴联合实业股份有限公司,大专,5-7千,1年,海宁
Customer Service Coordinator 海运客服代表,交通/运输/物流,德莎国际货运代理（上海）有限公司,大专,6-8千·13薪,3-4年,武汉
标书专员兼行政文员,影视/媒体/艺术/文化传播,武汉宇宙寓言影视发展有限公司,本科,4-8千,1年,武汉
大客户经理（机床行业）,机械/设备/重工,山东嘉瑞工业发展有限公司,高中,8千-1万,3-4年,潍坊
资材主管,仪器仪表/工业自动化,重庆辉生泰新材料科技有限公司,本科,1.5-2.5万·13薪,5-7年,苏州
车间核算员,电子技术/半导体/集成电路,常州丰盛光电科技股份有限公司,高中,3.5-4千,无需经验,常州
CMM测量员,原材料和加工,宁国市瑞普密封件有限公司,大专,4-4.5千,1年,无锡
人力行政专员,专业服务(咨询、人力资源、财会),安徽未染包装材料有限公司,大专,3.5-4.3千,无需经验,滁州
业务拓展销售（工业）BDM Industry,机械/设备/重工,世万保制动器（上海）有限公司,本科,1.5-2.5万·13薪,5-7年,上海
人力资源专员,新能源,湖南永杉锂业有限公司,本科,5-6千,1年,长沙
仓库管理员,家具/家电/玩具/礼品,广东鸿美达科技有限公司,高中,4.5-5.5千,1年,江门
税务会计专员,电子技术/半导体/集成电路,新美亚电路( 无锡) 有限公司,大专,6-8千·13薪,3-4年,无锡
大区销售经理（ka）,制药/生物工程,丽珠医药集团股份有限公司,大专,1.5-2万,3-4年,深圳
