外贸跟单,家居/室内设计/装潢,佛山瑞为应用材料有限公司,大专,5-8千,2年,佛山
大客户经理,通信/电信/网络设备,浙江远拓网络科技有限公司,大专,8千-1万,2年,宁波
店员/营业员,快速消费品(食品、饮料、化妆品),河北石门鲜坊食品有限公司,高中,4-5千,1年,石家庄
手机销售顾问（华为体验店）,通信/电信/网络设备,黄石天诚信息科技有限责任公司,高中,4-8千,1年,黄石
平面设计,广告,宿州市源权广告有限公司,大专,3-4千,1年,宿州
项目助理,农/林/牧/渔,云南英茂花卉产业有限公司,本科,4-6千,3-4年,昆明
电话客服专员,医疗设备/器械,四川精晶科技发展有限责任公司,大专,3.5-7千,无需经验,成都
新能源汽车销售顾问,通信/电信/网络设备,黄石天诚信息科技有限责任公司,大专,5千-1万,1年,黄石
运营助理,互联网/电子商务,厦门鸿瑞鑫盛电子商务有限公司,大专,5-8千,无需经验,厦门
奔驰销售顾问-永康利之星,汽车,永康利之星汽车销售服务有限公司,大专,8千-1.6万,1年,金华
商务司机,机械/设备/重工,九江消防装备有限公司,高中,5-6千,3-4年,九江
SEO运营推广,互联网/电子商务,爱拼物流科技有限公司,本科,5-8千,2年,长沙
贝壳找房大平台招聘置业顾问,中介服务,宜宾念正美营销策划有限公司,中技/中专,5千-1万,2年,宜宾
奔驰销售顾问-永康利之星,汽车,永康利之星汽车销售服务有限公司,大专,8千-1.6万,1年,金华
喷粉技工,原材料和加工,宁德聚能动力电源系统技术有限公司,,7千-1万,2年,宁德
短视频剪辑,家居/室内设计/装潢,吉安市吉州区丛一楼装饰工程有限公司,,4-6千,无需经验,吉安
冀北区域经理,快速消费品(食品、饮料、化妆品),上海满小饱食品科技有限公司,大专,1.5-2.3万,3-4年,唐山
城市经理（云南/滇南）,快速消费品(食品、饮料、化妆品),千禾味业食品股份有限公司,大专,1-1.5万,3-4年,红河州
英语外贸销售,通信/电信/网络设备,四川光恒通信技术有限公司,本科,5-6千,1年,成都
研发中心副总经理,房地产,成都燕宇投资实业发展有限公司,本科,5-6.5万,10年以上,成都
电子烟自动化工程师,电子技术/半导体/集成电路,多美达电子（深圳）有限公司,本科,2-2.5万,1年,深圳
技术服务工程师（常驻广东东莞）,机械/设备/重工,武汉易瑞德标识设备有限公司,中技/中专,5-8千·13薪,2年,东莞
特效师,影视/媒体/艺术/文化传播,广东易腾动漫文化有限公司,大专,7千-1.3万,2年,广州
销售经理,交通/运输/物流,深圳市思睿国际货运代理有限公司,大专,2-4万·13薪,3-4年,深圳
物业总账会计,物业管理/商业中心,上海地产酒店管理有限公司,大专,6-8千,2年,上海
技术工程师,通信/电信/网络设备,上海兑申信息技术有限公司,大专,6千-1万,1年,上海
轻奢服装PYE店员（广州太古汇）,服装/纺织/皮革,广东溢达纺织有限公司,中技/中专,7千-1.4万,2年,广州
国际物流销售顾问,交通/运输/物流,深圳市思睿国际货运代理有限公司,大专,6千-1.2万,1年,江门
物业客服专员,物业管理/商业中心,上海地产酒店管理有限公司,大专,5-5.5千,1年,上海
房地产销售,房地产,昆明尊园房地产经纪有限公司胜利花园分公司,,6千-1.2万,无需经验,昆明
俄语外贸业务员,家具/家电/玩具/礼品,佛山市顺德区基诺德电器制造有限公司,大专,6千-1.2万,1年,佛山
