销售助理（双休）,建筑/建材/工程,浙江福兰特有限公司,大专,4-5千,1年,宁波
CNC编程,机械/设备/重工,东莞市德美奥五金科技有限公司,高中,8千-1.2万,5-7年,东莞
综合部领班,建筑/建材/工程,深圳市东深环保科技有限公司,初中及以下,7-8.5千,3-4年,深圳
总账会计,印刷/包装/造纸,佛山市南海利达印刷包装有限公司,大专,6-8千,3-4年,佛山
生产普工,快速消费品(食品、饮料、化妆品),深圳市超跃食品有限公司,,5-7千,无需经验,深圳
影视后期,影视/媒体/艺术/文化传播,上海广频文化传播有限公司,本科,8千-1.5万,3-4年,上海
服装设计师,服装/纺织/皮革,广州市尊珑制衣有限公司,大专,7千-1.2万,3-4年,广州
人力资源 BP(J12066),建筑/建材/工程,大自然家居（中国）有限公司,本科,1.2-1.8万,10年以上,佛山
区域经理,餐饮业,武汉尊宝企业管理咨询有限责任公司,大专,1-1.5万,5-7年,武汉
外销业务员,贸易/进出口,上海硕欣国际贸易有限公司,大专,0.8-1万,3-4年,上海
电感、变压器销售工程师,电子技术/半导体/集成电路,怡轩科技（深圳）有限公司,大专,1-2万,2年,深圳
建材管道业务员,批发/零售,深圳市天丰建材有限公司,大专,6千-1.2万,1年,深圳
业务代表/市场专员,医疗/护理/卫生,广州越秀区弘康大医汇综合门诊部有限公司,,6千-1万,无需经验,广州
仓库理货员 配货,机械/设备/重工,常州市禾昌智能科技有限公司,初中及以下,6-9千·13薪,1年,常州
产品销售工程师,电子技术/半导体/集成电路,怡轩科技（深圳）有限公司,大专,1-2万,2年,深圳
EAP工程师,计算机软件,黄石广合精密电路有限公司,大专,8千-1.3万·13薪,2年,黄石
京东运营专员,服装/纺织/皮革,广州市宝同林贸易有限公司,大专,5千-1万,1年,广州
仓库管理员,机械/设备/重工,常州市禾昌智能科技有限公司,,6-8千·13薪,1年,常州
财务,家具/家电/玩具/礼品,建泉玩具（深圳）有限公司,大专,4.5-5千,1年,深圳
高级软件开发工程师,计算机软件,黄石广合精密电路有限公司,本科,9千-1.3万·13薪,3-4年,黄石
外销业务员,贸易/进出口,上海硕欣国际贸易有限公司,大专,0.8-1万,3-4年,上海
仓库理货员 配货,机械/设备/重工,常州市禾昌智能科技有限公司,初中及以下,6-9千·13薪,1年,常州
品质经理,电子技术/半导体/集成电路,深圳市健森实业有限公司,大专,1-1.6万,2年,深圳
资深质量工程师,机械/设备/重工,科倍隆（南京）机械有限公司,本科,12-22.5万/年,5-7年,南京
除四害消杀技术主管,计算机软件,深圳市润地机械设备有限公司,中技/中专,6-8千,8-9年,深圳
抖音主播,贸易/进出口,宁波骄福国际贸易有限公司,大专,6-8千·15薪,1年,宁波
仓库主管,电子技术/半导体/集成电路,宁波遥河照明有限公司,中技/中专,5-7千·13薪,2年,宁波
物料承认,电子技术/半导体/集成电路,维尔斯电子（昆山）有限公司,大专,4.5-6千,1年,昆山
有害生物防治经理,计算机软件,深圳市润地机械设备有限公司,中技/中专,6-8千,8-9年,深圳
前台行政文员/总机/接待生,建筑/建材/工程,中乾立源工程咨询有限公司,大专,2.8-3.2千,无需经验,武汉
外贸专员（双休地铁口）,医疗/护理/卫生,湖北格尔德口腔医疗科技有限公司,大专,5千-1万,2年,武汉
档案管理员,电子技术/半导体/集成电路,加西亚电子电器股份有限公司,大专,5-8千,3-4年,温州
北欧进口家具储备店长,家居/室内设计/装潢,重庆怡美生活家居用品有限公司,本科,1-1.5万,3-4年,重庆
食堂店长（广东四会市）,餐饮业,广州芳华餐饮管理有限公司,大专,8千-1万,3-4年,肇庆
生产运营助理,印刷/包装/造纸,东莞市普祥包装制品有限公司,中技/中专,5-6千,3-4年,东莞
商务专员,互联网/电子商务,佛山鸿远电子商务有限公司,大专,6-8千·13薪,1年,佛山
装配电工（自动化设备）,机械/设备/重工,广东冈田智能科技有限公司,初中及以下,7千-1万,1年,东莞
渠道销售,互联网/电子商务,浙江脉链品冠科技有限公司,大专,4.5-9千,无需经验,金华
普工,原材料和加工,泰珂力得精密部件（苏州）有限公司,,6-8千·13薪,无需经验,昆山
注塑厂采购员,汽车零配件,深圳市畅盛精密模具有限公司,高中,5-6千,3-4年,深圳
销售（电感、变压器）,电子技术/半导体/集成电路,怡轩科技（深圳）有限公司,大专,8千-1万·14薪,3-4年,深圳
仓库管理员,机械/设备/重工,常州市禾昌智能科技有限公司,,6-8千·13薪,1年,常州
教务管理老师（英语方向）,教育/培训/院校,天津博英加美教育信息咨询有限公司,硕士,7.5千-1.2万,无需经验,天津
EAP工程师,计算机软件,黄石广合精密电路有限公司,大专,8千-1.3万·13薪,2年,黄石
售后客服专员,机械/设备/重工,广州玉邦自动化控制设备有限公司,大专,4-6千,2年,广州
灌装开机员/打包员,快速消费品(食品、饮料、化妆品),广州市溢彩化妆品有限公司,初中及以下,4.5-5千,无需经验,广州
仓库配货小时工 20元/小时,批发/零售,常熟市东南街道益佰副食品商行,初中及以下,3千及以下,无需经验,常熟
高级软件开发工程师,计算机软件,黄石广合精密电路有限公司,本科,9千-1.3万·13薪,3-4年,黄石
主案设计师,家居/室内设计/装潢,深圳壹方空间设计有限公司,本科,25-45万/年,5-7年,深圳
淘宝电商运营,汽车零配件,苏州智久金属制品有限公司,大专,5-9千,1年,苏州
物料承认,电子技术/半导体/集成电路,维尔斯电子（昆山）有限公司,大专,4.5-6千,1年,昆山
海运销售,交通/运输/物流,上海格林福德国际货物运输代理有限公司,大专,7千-1.4万,3-4年,深圳
文案策划,制药/生物工程,广州禾贝生物科技有限公司,大专,8千-1.2万,无需经验,广州
助理3000（双休）,保险,中国人寿保险股份有限公司武汉市分公司,大专,6-8千,无需经验,武汉
冲压模具设计,仪器仪表/工业自动化,青岛铭毅智能科技有限公司,中技/中专,1-1.8万,5-7年,青岛
注塑领班,计算机软件,深圳市诚益盛科技有限公司,高中,8-9千,3-4年,东莞
t3高德网约车司机可试跑,交通/运输/物流,东莞市创益汽车服务有限公司,,8.5千-1.3万,无需经验,东莞
项目经理,仪器仪表/工业自动化,成都原子高通科技有限公司,大专,1-1.5万·13薪,1年,成都
技术实习生,互联网/电子商务,浙江脉链品冠科技有限公司,本科,4.5-9千,无需经验,金华
电气工程师/技术员,计算机服务(系统、数据服务、维修),广州力得技术有限公司,大专,5千-1万,5-7年,广州
外贸业务员,电子技术/半导体/集成电路,广东科端电子有限公司,大专,8千-1万,1年,广州
销售助理（粤语）,贸易/进出口,慧伦宠物护理（深圳）有限公司,大专,6千-1万,无需经验,深圳
凉菜中工,餐饮业,武汉一澜鹊山餐饮管理有限公司,,6.5-7.5千,2年,武汉
全盘会计,电子技术/半导体/集成电路,深圳市迈睿通发展有限公司,大专,6-8千,1年,深圳
结构/外观工程师,电子技术/半导体/集成电路,广东科端电子有限公司,大专,6-8千,2年,清远
外贸业务员/应届毕业生,机械/设备/重工,深圳市虹宇电子有限公司,大专,8千-1万,3-4年,深圳
打荷,餐饮业,武汉一澜鹊山餐饮管理有限公司,,4-4.5千,1年,武汉
音膜生产组长,电子技术/半导体/集成电路,深圳市迈睿通发展有限公司,高中,6-8千,1年,深圳
IQC,电子技术/半导体/集成电路,广东科端电子有限公司,高中,4.5-6千,1年,清远
装卸工,交通/运输/物流,深圳市凯琦供应链管理有限公司,高中,7-9千·13薪,无需经验,东莞
店员/营业员,贸易/进出口,成都瑞和信美贸易有限公司,高中,4-8千,1年,昆明
二保焊工,娱乐/休闲/体育,广州龙康体育用品有限公司,初中及以下,5-8千,无需经验,广州
公司副总经理,原材料和加工,重庆和昇齿链科技有限公司,本科,1.2-1.5万,10年以上,重庆
家装顾问经理,家居/室内设计/装潢,广州康耐登家居用品有限公司,大专,1.5-3万,3-4年,广州
配件专员（广州番禺保时捷中心）,汽车,广州市恒悦行汽车销售服务有限公司,大专,7-9千,2年,广州
