主播运营,影视/媒体/艺术/文化传播,松雨春山宿迁文化传媒有限公司,大专,4-8千,无需经验,宿迁
店员/营业员,快速消费品(食品、饮料、化妆品),河北石门鲜坊食品有限公司,高中,4-5千,1年,石家庄
渠道销售（双休）,原材料和加工,南京绿埃新材料有限公司,大专,6千-1万,2年,南京
新能源汽车销售顾问,通信/电信/网络设备,黄石天诚信息科技有限责任公司,大专,5千-1万,1年,黄石
项目助理,农/林/牧/渔,云南英茂花卉产业有限公司,本科,4-6千,3-4年,昆明
办公室行政职员,环保,湖北省再生资源集团有限公司,大专,3-4千,2年,孝感
高级外贸跟单员,贸易/进出口,无锡文迪机电设备有限公司,大专,8千-1万,3-4年,无锡
运营助理,互联网/电子商务,厦门鸿瑞鑫盛电子商务有限公司,大专,5-8千,无需经验,厦门
奔驰销售顾问-永康利之星,汽车,永康利之星汽车销售服务有限公司,大专,8千-1.6万,1年,金华
商务司机,机械/设备/重工,九江消防装备有限公司,高中,5-6千,3-4年,九江
贝壳找房大平台招聘置业顾问,中介服务,宜宾念正美营销策划有限公司,中技/中专,5千-1万,2年,宜宾
喷粉技工,原材料和加工,宁德聚能动力电源系统技术有限公司,,7千-1万,2年,宁德
外贸助理,服装/纺织/皮革,常州缯彩纺织品有限公司,大专,4.5-7千,5-7年,常州
跟单助理,服装/纺织/皮革,深圳市稳进服装有限公司,大专,4.5-6千,3-4年,深圳
贝壳找房大平台&房产销售,中介服务,宜宾念正美营销策划有限公司,中技/中专,4-8千,1年,宜宾
短视频剪辑,家居/室内设计/装潢,吉安市吉州区丛一楼装饰工程有限公司,,4-6千,无需经验,吉安
机械设计工程师,学术/科研,韶山市碳基材料产业研究院,本科,8千-1万,3-4年,湘潭
急招五金品检,贸易/进出口,厦门迈维斯货架有限公司,中技/中专,5-8千·13薪,1年,厦门
园林施工经理,建筑/建材/工程,江西翰林实业有限公司,本科,1-1.5万,5-7年,南昌
机械结构工程师,电子技术/半导体/集成电路,宁波扇贝科技有限公司,本科,8千-1.2万·13薪,2年,宁波
研发经理/博士后研究员,中介服务,湖州启才科技发展有限公司,博士,2-4万,无需经验,湖州
会计,建筑/建材/工程,杭州鸿晟建筑工程有限公司,大专,4.5-6千,1年,杭州
结构工程师(塑胶),电子技术/半导体/集成电路,进贤睿智电子科技有限公司,大专,5-8千,3-4年,南昌
业务助理,印刷/包装/造纸,上海乐亿塑料制品有限公司,大专,6千-1万,3-4年,上海
研发高级经理,中介服务,湖州启才科技发展有限公司,博士,3-5万,1年,湖州
客服专员,汽车,清远瑞凯汽车销售服务有限公司,中技/中专,4.5-6千,1年,清远
机械设计工程师,仪器仪表/工业自动化,苏州汇纬自动化设备有限公司,大专,1.5-2.5万·13薪,3-4年,苏州
叉车司机,交通/运输/物流,广州能创物流有限公司,高中,5.5-8千,2年,广州
食堂厨师长（全国）,多元化业务集团公司,上海荣琦实业有限公司,,8千-1.1万,5-7年,上海
物业项目副经理/主管,物业管理/商业中心,成都市居安乐物业服务有限公司,大专,6-7千,5-7年,成都
法务主管,物业管理/商业中心,上海东津投资发展有限公司,本科,1.5-2万·13薪,5-7年,上海
软件工程师（换电柜产品）,通信/电信/网络设备,广东通宇通讯股份有限公司,硕士,1.5-2.2万·14薪,3-4年,中山
抖音运营,服装/纺织/皮革,上海蔓秋服饰有限公司,大专,6千-1万,2年,上海
秩序队长,物业管理/商业中心,成都市居安乐物业服务有限公司,高中,4-5千,1年,成都
产品文案策划,快速消费品(食品、饮料、化妆品),广州市卓多姿化妆品有限公司,大专,3-6千,2年,广州
留学申请顾问,专业服务(咨询、人力资源、财会),北京新东方前途出国咨询有限公司合肥分公司,本科,5-8千,2年,合肥
法医临床鉴定人,检测，认证,四川中信司法鉴定中心,本科,4.5-6千,5-7年,成都
机电安装总监,房地产,南京德盈龙华置业有限公司,大专,2-2.5万,10年以上,南京
化妆品备案专员,快速消费品(食品、饮料、化妆品),广州市卓多姿化妆品有限公司,大专,4-5.5千,2年,广州
客服文员,生活服务,广东中科沉香科技有限公司,中技/中专,3.5-4千,1年,东莞
操作员/包装工/灌装工/普工,快速消费品(食品、饮料、化妆品),润本生物技术股份有限公司,,4-6千,1年,广州
速冻调理生产总监（桂花马蹄等马蹄系列产品）,贸易/进出口,海南景领国际贸易有限公司,大专,1.5-2万·13薪,5-7年,桂林
外贸业务员,电子技术/半导体/集成电路,深圳市良标科技有限公司,大专,1-2万,2年,深圳
高级培训讲师(苏州吴江，包住),交通/运输/物流,跨越速运集团有限公司,大专,7千-1万,3-4年,苏州
产品摄像师,贸易/进出口,摩米士科技（深圳）有限公司,大专,1.3-1.5万,3-4年,深圳
售后内勤专员,机械/设备/重工,江苏亚威创科源激光装备有限公司,大专,6-8千·13薪,2年,无锡
