主播运营,影视/媒体/艺术/文化传播,松雨春山宿迁文化传媒有限公司,大专,4-8千,无需经验,宿迁
外贸跟单,家居/室内设计/装潢,佛山瑞为应用材料有限公司,大专,5-8千,2年,佛山
大客户经理,通信/电信/网络设备,浙江远拓网络科技有限公司,大专,8千-1万,2年,宁波
店员/营业员,快速消费品(食品、饮料、化妆品),河北石门鲜坊食品有限公司,高中,4-5千,1年,石家庄
渠道销售（双休）,原材料和加工,南京绿埃新材料有限公司,大专,6千-1万,2年,南京
新能源汽车销售顾问,通信/电信/网络设备,黄石天诚信息科技有限责任公司,大专,5千-1万,1年,黄石
平面设计,广告,宿州市源权广告有限公司,大专,3-4千,1年,宿州
项目助理,农/林/牧/渔,云南英茂花卉产业有限公司,本科,4-6千,3-4年,昆明
电话客服专员,医疗设备/器械,四川精晶科技发展有限责任公司,大专,3.5-7千,无需经验,成都
办公室行政职员,环保,湖北省再生资源集团有限公司,大专,3-4千,2年,孝感
高级外贸跟单员,贸易/进出口,无锡文迪机电设备有限公司,大专,8千-1万,3-4年,无锡
运营助理,互联网/电子商务,厦门鸿瑞鑫盛电子商务有限公司,大专,5-8千,无需经验,厦门
奔驰销售顾问-永康利之星,汽车,永康利之星汽车销售服务有限公司,大专,8千-1.6万,1年,金华
商务司机,机械/设备/重工,九江消防装备有限公司,高中,5-6千,3-4年,九江
SEO运营推广,互联网/电子商务,爱拼物流科技有限公司,本科,5-8千,2年,长沙
贝壳找房大平台招聘置业顾问,中介服务,宜宾念正美营销策划有限公司,中技/中专,5千-1万,2年,宜宾
奔驰销售顾问-永康利之星,汽车,永康利之星汽车销售服务有限公司,大专,8千-1.6万,1年,金华
喷粉技工,原材料和加工,宁德聚能动力电源系统技术有限公司,,7千-1万,2年,宁德
外贸助理,服装/纺织/皮革,常州缯彩纺织品有限公司,大专,4.5-7千,5-7年,常州
短视频剪辑,家居/室内设计/装潢,吉安市吉州区丛一楼装饰工程有限公司,,4-6千,无需经验,吉安
行车工,原材料和加工,江阴市宏鑫宝金属有限公司,初中及以下,7.5千-1万,1年,无锡
门店营业员,批发/零售,湖北馋不二品牌管理有限公司,高中,3.5-5.5千,1年,武汉
行政主管,印刷/包装/造纸,禧图纸品印刷（深圳）有限公司,大专,8千-1.2万,3-4年,深圳
检测工程师,检测，认证,成都三方电气有限公司,本科,8-15万/年,无需经验,成都
工厂清洁工,原材料和加工,深圳市金盾兴机电有限公司,初中及以下,3.5-3.8千,1年,深圳
非标自动化机械设计技术员,仪器仪表/工业自动化,嘉兴达鼎自动化科技有限公司,本科,1.5-2.5万·13薪,5-7年,嘉兴
出纳,建筑/建材/工程,深圳市成效项目管理有限公司惠州分公司,大专,4-6千,2年,惠州
分校校长/咨询主管,教育/培训/院校,广州市海珠区京师课外教育培训中心有限责任公司,本科,1-1.5万,3-4年,广州
财务助理（上海闵行）,电子技术/半导体/集成电路,至微半导体（上海）有限公司,大专,5-7千,1年,上海
非标自动化业务员,仪器仪表/工业自动化,嘉兴达鼎自动化科技有限公司,本科,5千-1万,1年,嘉兴
全盘会计,建筑/建材/工程,深圳市成效项目管理有限公司惠州分公司,大专,5-8千,3-4年,惠州
前台行政助理,专业服务(咨询、人力资源、财会),湖南中翰益商税务师事务所有限公司,中技/中专,3-4千,1年,长沙
工装夹具工程师,机械/设备/重工,广州佳乂特起重机电工程有限公司,大专,4.5-8千,1年,东莞
机械设计工程师,仪器仪表/工业自动化,上海真兰仪表科技股份有限公司,本科,1.5-3万,3-4年,北京
电商运营,家具/家电/玩具/礼品,浙江比依电器股份有限公司,大专,6千-1万·13薪,1年,宁波
宁波高新区管培生-就近安排,餐饮业,上海必胜客有限公司浙江分公司,大专,5-6千,无需经验,宁波
精益工程师,汽车,芜湖本特勒浦项汽车配件制造有限公司,本科,0.8-1万,3-4年,芜湖
